cluster_id,txt_title,txt_year,"Times Cited, WoS Core",TCperYear,Abstract
2,Gut microbiome shifts with urbanization and potentially facilitates a zoonotic pathogen in a wading bird,2020,78,11.14285714,"Microbial communities in the gastrointestinal tract influence many aspects of host health, including metabolism and susceptibility to pathogen colonization. These relationships and the environmental and individual factors that drive them are relatively unexplored for free-living wildlife. We quantified the relationships between urban habitat use, diet, and age with microbiome composition and diversity for 82 American white ibises (Eudocimus albus) captured along an urban gradient in south Florida and tested whether gut microbial diversity was associated with Salmonella enterica prevalence. Shifts in community composition were significantly associated with urban land cover and, to a lesser extent, diets higher in provisioned food. The diversity of genera was negatively associated with community composition associated with urban land cover, positively associated with age class, and negatively associated with Salmonella shedding. Our results suggest that shifts in both habitat use and diet for urban birds significantly alter gut microbial composition and diversity in ways that may influence health and pathogen susceptibility as species adapt to urban habitats."
2,Faecal microbiota and antibiotic resistance genes in migratory waterbirds with contrasting habitat use,2021,63,10.5,"Migratory birds may have a vital role in the spread of antimicrobial resistance across habitats and regions, but empirical data remain scarce. We investigated differences in the gut microbiome composition and the abundance of antibiotic resistance genes (ARGs) in faeces from four migratory waterbirds wintering in South-West Spain that differ in their habitat use. The white stork Ciconia ciconia and lesser black-backed gull Carus Justus are omnivorous and opportunistic birds that use highly anthropogenic habitats such as landfills and urban areas. The greylag goose Anser anser and common crane Grus grus are herbivores and use more natural habitats. Fresh faeces from 15 individuals of each species were analysed to assess the composition of bacterial communities using 16S rRNA amplicon-targeted sequencing, and to quantify the abundance of the Class I integron integrase gene (intl1) as well as genes encoding resistance to sulfonamides (sul1), beta-lactams (bla(TEM), bla(KPC). and bla(NDM)), tetracyclines (tetW), fluoroquinolones (qnrS), and colistin (mcr-1) using qPCR. Bacterial communities in gull faeces were the richest and most diverse. Beta diversity analysis showed segregation in faecal communities between bird spedes, but those from storks and gulls were the most similar, these being the species that regularly feed in landfills. Potential bacterial pathogens identified in faeces differed significantly between bird species, with higher relative abundance in gulls. Faeces from birds that feed in landfills (stork and gull) contained a significantly higher abundance of ARGs (sul1, bla(TEM), and tetW). Genes conferring resistance to last resort antibiotics such as carbapenems (bla(KPC)) and colistin (mcr-1) were only observed in faeces from gulls. These results show that these bird species are reservoirs of antimicrobial resistant bacteria and suggest that waterbirds may disseminate antibiotic resistance across environments (e.g., from landfills to ricefields or water supplies), and thus constitute a risk for their further spread to wildlife and humans. (C) 2021 Elsevier B.V. All rights reserved."
2,"mcr-Colistin resistance genes mobilized by IncX4, IncHI2, and IncI2 plasmids in escherichia coli of pigs and white stork in spain",2020,61,8.714285714,"Colistin has become the last-line antimicrobial for the treatment of multidrug resistant (MDR) Enterobacterales in human medicine. To date, several colistin resistance genes have been described. Of them mcr-1 is disseminated worldwide in Escherichia coli of human and animal origin. The aim of this study was to characterize mcr-mediated resistance plasmids from E. coli of animal origin in Spain. From our strain collection, 70 E. coli of pig origin collected between 2005 and 2014 (10 per year, except for years 2009-2010-2013) were randomly selected and screened for the presence of mcr-genes. Additionally, 20 E. coli isolated in 2011 from white storks (Ciconia ciconia) from the same urban household waste landfill associated colony were also included. Whole genome sequencing of mcr-positive isolates was carried out on a MiSeq (Illumina). Hybrid whole genome sequencing strategy combining nanopore and Illumina technologies were performed in a selection of isolates to close the genomes and plasmids and identify the presence of antimicrobial resistance genes. Minimum inhibitory concentration (MIC) was used to assess the susceptibility to colistin. Mating experiments were carried out to evaluate transferability of the mcr-genes. A total of 19 mcr-1 and one mcr-4 positive isolates were detected, 15 from pigs distributed during the study period, and five from storks collected in 2011. No other mcr-variants were found. The MICs for colistin ranged between 4 and >4 mg/L. High diversity of STs were detected among the mcr-1 positive E. coli isolates, with only ST-10 shared between pigs and white storks. Except for one isolate, all were genotypic and phenotypically MDR, and five of them also harbored cephalosporin resistance genes (bla(CTX-M-14), bla(SHV-12), and three bla(CMY-2)). mcr-1 genes were mobilizable by conjugation, associated with IncX4, IncHI2, and IncI2 plasmids. In our study, mcr-1 genes have been circulating in pig farms since 2005 harbored by a variety of E. coli clones. Its persistence may be driven by co-selection since plasmids containing mcr-1 also exhibit resistance to multiple drugs used in veterinary medicine. Furthermore, this is the first report of the presence of mcr-1 gene in isolates from white storks in Spain. This finding highlights the potential importance of wildlife that forage at urban household waste landfills in the transmission and spread of colistin resistance genes."
2,Foraging at solid urban waste disposal sites as risk factor for cephalosporin and colistin resistant escherichia coli carriage in white storks (ciconia ciconia),2020,33,4.714285714,"White stork (Ciconia ciconia) may act as a reservoir and vehicle of cephalosporin resistant (CR)Escherichia coli. Between 2011 and 2014, we sampled white storks from colonies exposed to different degrees of anthropic pressure across the major areas of natural distribution of white storks in Spain. Cloacal swab samples (n= 467) were obtained from individuals belonging to 12 different colonies from six different regions. Additionally, 70 samples were collected from recently deposited droppings at the base of nesting platforms. We phenotypically characterizedE. coliisolates, confirmed presence of CR genes and classified plasmids. Risk factors for acquiring these genes were assessed. Overall, 8.8% (41 out of 467) storks carried CRE. coliin their cloaca and five (7.1%) were identified from recently deposited droppings; therefore, 46 isolates were further characterized. Of them, 20 containedbla(CTX-M-1), ninebla(CMY-2), sixbla(CTX-M-14), fourbla(SHV-12), threebla(CTX-M-15), twobla(CTX-M-32), onebla(CTX-M-1)together withbla(CMY-2), and onebla(CTX-M-1)together withbla(SHV-12). All were multidrug-resistant, and four harbored the plasmid-mediated colistin resistancemcr-1gene. CR genes were associated with the presence of IncI1, IncFIB, and IncN replicon families.XbaI-macrorestriction analysis revealed a great diversity among most of theXbaI-PFGE types, but indistinguishable types were also seen with isolates obtained from different locations. Clonal complex 10 was the most common among CRE. coliand twobla(CTX-M-15)positive isolates were identified as B2-ST131. Carriage of CRE. coliwas significantly higher in colonies located close to solid urban waste disposal sites in which foraging on human waste was more likely and in one case to cattle grazing. The co-occurrence ofbla(CMY-2)andmcr-1 on plasmids ofE. coliisolated from wild birds as early as 2011 is of note, as the earliest previous report ofmcr-1 in wild birds is from 2016. Our study shows that foraging at landfills and in association with cattle grazing are important risk factors for the acquisition of CRE. coliin white storks."
2,Metatranscriptomic analysis of virus diversity in urban wild birds with paretic disease,2020,32,4.571428571,"Wild birds are major natural reservoirs and potential dispersers of a variety of infectious diseases. As such, it is important to determine the diversity of viruses they carry and use this information to help understand the potential risks of spillover to humans, domestic animals, and other wildlife. We investigated the potential viral causes of paresis in long-standing, but undiagnosed, disease syndromes in wild Australian birds. RNA from diseased birds was extracted and pooled based on tissue type, host species, and clinical manifestation for metagenomic sequencing. Using a bulk and unbiased metatranscriptomic approach, combined with clinical investigation and histopathology, we identified a number of novel viruses from the families Astroviridae, Adenoviridae, Picornaviridae, Polyomaviridae, Paramyxoviridae, Parvoviridae, and Circoviridae in common urban wild birds, including Australian magpies, magpie larks, pied currawongs, Australian ravens, and rainbow lorikeets. In each case, the presence of the virus was confirmed by reverse transcription (RT)-PCR. These data revealed a number of candidate viral pathogens that may contribute to coronary, skeletal muscle, vascular, and neuropathology in birds of the Corvidae and Artamidae families and neuropathology in members of the Psittaculidae. The existence of such a diverse virome in urban avian species highlights the importance and challenges in elucidating the etiology and ecology of wildlife pathogens in urban environments. This information will be increasingly important for managing disease risks and conducting surveillance for potential viral threats to wildlife, livestock, and human health. IMPORTANCE Wildlife naturally harbor a diverse array of infectious microorganisms and can be a source of novel diseases in domestic animals and human populations. Using unbiased RNA sequencing, we identified highly diverse viruses in native birds from Australian urban environments presenting with paresis. This research included the clinical investigation and description of poorly understood recurring syndromes of unknown etiology: clenched claw syndrome and black and white bird disease. As well as identifying a range of potentially disease-causing viral pathogens, this study describes methods that can effectively and efficiently characterize emergent disease syndromes in free-ranging wildlife and promotes further surveillance for specific pathogens of potential conservation and zoonotic concern."
3,Urbanisation generates multiple trait syndromes for terrestrial animal taxa worldwide,2023,100,25,"Cities may host surprisingly diverse and functionally distinct biological communities. This global analysis on 5302 vertebrate and invertebrate species finds evidence of 4 trait syndromes in urban animal assemblages, modulated by spatial and geographic factors. Cities can host significant biological diversity. Yet, urbanisation leads to the loss of habitats, species, and functional groups. Understanding how multiple taxa respond to urbanisation globally is essential to promote and conserve biodiversity in cities. Using a dataset encompassing six terrestrial faunal taxa (amphibians, bats, bees, birds, carabid beetles and reptiles) across 379 cities on 6 continents, we show that urbanisation produces taxon-specific changes in trait composition, with traits related to reproductive strategy showing the strongest response. Our findings suggest that urbanisation results in four trait syndromes (mobile generalists, site specialists, central place foragers, and mobile specialists), with resources associated with reproduction and diet likely driving patterns in traits associated with mobility and body size. Functional diversity measures showed varied responses, leading to shifts in trait space likely driven by critical resource distribution and abundance, and taxon-specific trait syndromes. Maximising opportunities to support taxa with different urban trait syndromes should be pivotal in conservation and management programmes within and among cities. This will reduce the likelihood of biotic homogenisation and helps ensure that urban environments have the capacity to respond to future challenges. These actions are critical to reframe the role of cities in global biodiversity loss."
3,Traits shaping urban tolerance in birds differ around the world,2023,92,23,"As human density increases, biodiversity must increasingly co-exist with urbanization or face local extinction. Tolerance of urban areas has been linked to numerous functional traits, yet few globally consistent patterns have emerged to explain variation in urban tolerance, which stymies attempts at a generalizable predictive framework. Here, we calculate an Urban Association Index (UAI) for 3,768 bird species in 137 cities across all permanently inhabited continents. We then assess how this UAI varies as a function of ten species-specific traits and further test whether the strength of trait relationships vary as a function of three city-specific vari-ables. Of the ten species traits, nine were significantly associated with urban tolerance. Urban-associated species tend to be smaller, less territorial, have greater dispersal ability, broader dietary and habitat niches, larger clutch sizes, greater longevity, and lower elevational limits. Only bill shape showed no global associa-tion with urban tolerance. Additionally, the strength of several trait relationships varied across cities as a func-tion of latitude and/or human population density. For example, the associations of body mass and diet breadth were more pronounced at higher latitudes, while the associations of territoriality and longevity were reduced in cities with higher population density. Thus, the importance of trait filters in birds varies predictably across cit-ies, indicating biogeographic variation in selection for urban tolerance that could explain prior challenges in the search for global patterns. A globally informed framework that predicts urban tolerance will be integral to conservation as increasing proportions of the world's biodiversity are impacted by urbanization."
3,Generalists are the most urban-tolerant of birds: a phylogenetically controlled analysis of ecological and life history traits using a novel continuous measure of bird responses to urbanization,2019,179,22.375,"Identifying which ecological and life history traits influence a species' tolerance to urbanization is critical to understanding the trajectory of biodiversity in an increasingly urbanizing world. There is evidence for a wide array of contrasting patterns for single trait associations with urbanization. In a continental-scale analysis, incorporating 477 species and >5 000 000 bird observations, we developed a novel and scalable methodology that evaluated the ecological and life history traits which most influence a species' adaptability to persist in urban environments. Specifically, we assigned species-specific scores based on continuous measures of response to urbanization, using VIIRS night-time light values (i.e. radiance) as a proxy for urbanization. We identified generalized, phylogenetically controlled patterns: bird species which are generalists (i.e. large niche breadth), with large clutch size, and large residual brain size are among the most urban-tolerant bird species. Conversely, specialized feeding strategies (i.e. insectivores and granivores) were negatively associated with urbanization. Enhancement and persistence of avian biodiversity in urban environments probably relies on protecting, maintaining and restoring diverse habitats serving a range of life history strategies."
3,Urbanisation and the loss of phylogenetic diversity in birds,2017,201,20.1,"Despite the recognised conservation value of phylogenetic diversity, little is known about how it is affected by the urbanisation process. Combining a complete avian phylogeny with surveys along urbanisation gradients from five continents, we show that highly urbanised environments supported on average 450 million fewer years of evolutionary history than the surrounding natural environments. This loss was primarily caused by species loss and could have been higher had not been partially compensated by the addition of urban exploiters and some exotic species. Highly urbanised environments also supported fewer evolutionary distinctive species, implying a disproportionate loss of evolutionary history. Compared with highly urbanised environments, changes in phylogenetic richness and evolutionary distinctiveness were less substantial in moderately urbanised environments. Protecting pristine environments is therefore essential for maintaining phylogenetic diversity, but moderate levels of urbanisation still preserve much of the original diversity."
3,Does urbanization filter birds on the basis of their biological traits?,2008,318,16.73684211,"Urbanization leads to the biotic homogenization of global avifauna. We hypothesized that urbanization acts as a filter on species traits and, therefore, that urban passerines share biological traits explaining their capacity to tolerate urban constraints. We investigated 18 biological traits of passerines related to their general biology, distribution, breeding, and morphometry. In a regional analysis conducted on passerine data from one Swiss and 11 French cities (regional analysis), we identified urban adapters (tolerant species) and urban avoiders (intolerant species), and compared their traits. In a local analysis conducted on passerine data of 13 woodlands located along a short rural-urban gradient, we identified groups of species associated with particular vegetation structures within or particular landscape structures around woodlands. We associated each of these species groups with a tolerance level to urbanization and compared their traits. Regional analysis revealed that urban adapters prefer forest environments, are sedentary, omnivorous, widely distributed, high-nesters with large wingspans. Urban avoiders seem to allocate more energy to reproduction than do urban adapters, to the detriment of adaptation to new environments such as urban areas. Local analysis did not reveal any link between traits and species tolerance levels. At large spatial scales, urbanization seems therefore to act as a filter on species traits. However, the urban constraints that filter species at such large scales do not seem to be the same ones that determine species distribution at local scales. Analyses of traits are powerful tools to understanding regional community composition between urban and rural areas."
4,The importance of street trees to urban avifauna,2020,107,15.28571429,"Street trees are public resources planted in a municipality's right-of-way and are a considerable component of urban forests throughout the world. Street trees provide numerous benefits to people. However, many metropolitan areas have a poor understanding of the value of street trees to wildlife, which presents a gap in our knowledge of conservation in urban ecosystems. Greater Los Angeles (LA) is a global city harboring one of the most diverse and extensive urban forests on the planet. The vast majority of the urban forest is nonnative in geographic origin, planted throughout LA following the influx of irrigated water in the early 1900s. In addition to its extensive urban forest, LA is home to a high diversity of birds, which utilize the metropolis throughout the annual cycle. The cover of the urban forest, and likely street trees, varies dramatically across a socioeconomic gradient. However, it is unknown how this variability influences avian communities. To understand the importance of street trees to urban avifauna, we documented foraging behavior by birds on native and nonnative street trees across a socioeconomic gradient throughout LA. Affluent communities harbored a unique composition of street trees, including denser and larger trees than lower-income communities, which in turn, attracted nearly five times the density of feeding birds. Foraging birds strongly preferred two native street-tree species as feeding substrates, the coast live oak (Quercus agrifolia) and the California sycamore (Platanus racemosa), and a handful of nonnative tree species, including the Chinese elm (Ulmus parvifolia), the carrotwood (Cupaniopsis anacardioides), and the southern live oak (Quercus virginiana), in greater proportion than their availability throughout the cityscape (two to three times their availability). Eighty-three percent of street-tree species (n = 108, total) were used in a lower proportion than their availability by feeding birds, and nearly all were nonnative in origin. Our findings highlight the positive influence of street trees on urban avifauna. In particular, our results suggest that improved street-tree management in lower-income communities would likely positively benefit birds. Further, our study provides support for the high value of native street-tree species and select nonnative species as important habitat for feeding birds."
4,Does variation in garden characteristics influence the conservation of birds in suburbia?,2006,218,10.38095238,"Can enhancement of garden habitat for native birds have conservation benefits, or are garden bird assemblages determined by landscape and environmental characteristics? The relative roles of vegetation structure, floristics and other garden attributes, and environmental and landscape controls, on the abundance and richness of bird species in 214 back or front gardens in 10 suburbs of Hobart, Tasmania, Australia, are addressed to answer this question. Birds were counted in each garden and the resources they utilized noted. Vascular plant species and other attributes of the garden were noted, along with rainfall, altitude, distance from natural vegetation, distance from the city and garden size. Garden floristics and bird assemblages were ordinated, and garden groups characterized by particular assemblages of birds identified. General linear modelling was used to determine the combinations of independent variables that best predicted the richness of birds and the abundance of individual bird species and groups of species. The models for bird richness, bird species and groups of bird species were highly individualistic. Although native birds showed a preference for native plants, they also utilized many exotic plants. Exotic birds largely utilized exotic plants. Variation in garden characteristics does substantially affect the nature of garden bird assemblages in Hobart, with weaker environmental and landscape influences. The fact that gardens can be designed and managed to favour particular species and species assemblages gives gardeners a potentially substantial role in the conservation of urban native avifauna. (c) 2006 Elsevier Ltd. All rights reserved."
4,The conservation value of residential yards: linking birds and people,2011,156,9.75,"Urbanization is recognized as one of the greatest threats to biodiversity throughout the world. However, the vegetation within an urbanized landscape is diverse and includes a variety of native and exotic plant species. This variation allows for testing whether certain landscape designs outperform others in the support of native biodiversity. Residential yards represent a large component of an urban landscape and, if managed collectively for birds and other wildlife, could offset some of the negative effects of urbanization. In addition, many urbanites have their primary interaction with the natural world in their front and back yards. Therefore, ensuring positive wildlife experiences for them is essential in promoting urban biodiversity. At the Central Arizona-Phoenix Long-Term Ecological Research site we tested the efficacy of native landscaping in residential yards in attracting native birds. We also explored the links between socioeconomic factors, landscape designs, and urban gradient measurements with the urban bird communities. A redundancy analysis suggested that native desert bird species increased in abundance in neighborhoods with desert landscaping designs, neighborhoods closer to large desert tracts, and higher-income neighborhoods. Variance partitioning showed that collectively these three sets of environmental variables explained almost 50% of the variation in the urban bird community. Results suggested racial and economic inequities in access to biodiversity, whereby predominantly Hispanic and lower-income neighborhoods had fewer native birds. We also found that residents' satisfaction with bird diversity was positively correlated with actual bird diversity. Our study provides new insights into the relative importance of socioeconomic variables and common urban ecological measurements in explaining urban bird communities. Urban planners can use this information to develop residential landscapes that support the well-being of both birds and people."
